Date	Annee	Mois	jour	Qls	Qm3s
19000901	1900	9	1	5830	5.83
19000902	1900	9	2	4370	4.37
19000903	1900	9	3	4590	4.59
19000904	1900	9	4	5020	5.02
19000905	1900	9	5	3580	3.58
19000906	1900	9	6	2690	2.69
19000907	1900	9	7	1990	1.99
19000908	1900	9	8	1620	1.62
19000909	1900	9	9	1590	1.59
19000910	1900	9	10	1010	1.01
19000911	1900	9	11	791	0.79
19000912	1900	9	12	885	0.89
19000913	1900	9	13	816	0.82
19000914	1900	9	14	589	0.59
19000915	1900	9	15	460	0.46
19000916	1900	9	16	440	0.44
19000917	1900	9	17	660	0.66
19000918	1900	9	18	211	0.21
19000919	1900	9	19	91	0.09
19000920	1900	9	20	152	0.15
19000921	1900	9	21	137	0.14
19000922	1900	9	22	38	0.04
19000923	1900	9	23	64	0.06
19000924	1900	9	24	336	0.34
19000925	1900	9	25	1650	1.65
19000926	1900	9	26	10300	10.30
19000927	1900	9	27	14300	14.30
19000928	1900	9	28	11800	11.80
19000929	1900	9	29	11900	11.90
19000930	1900	9	30	12800	12.80
19001001	1900	10	1	12800	12.80
19001002	1900	10	2	10700	10.70
19001003	1900	10	3	14200	14.20
19001004	1900	10	4	14700	14.70
19001005	1900	10	5	12000	12.00
19001006	1900	10	6	9830	9.83
19001007	1900	10	7	8230	8.23
19001008	1900	10	8	6550	6.55
19001009	1900	10	9	4670	4.67
19001010	1900	10	10	3920	3.92
19001011	1900	10	11	4270	4.27
19001012	1900	10	12	3900	3.90
19001013	1900	10	13	3110	3.11
19001014	1900	10	14	3980	3.98
19001015	1900	10	15	4010	4.01
19001016	1900	10	16	2050	2.05
19001017	1900	10	17	1690	1.69
19001018	1900	10	18	2090	2.09
19001019	1900	10	19	1890	1.89
19001020	1900	10	20	1440	1.44
19001021	1900	10	21	1930	1.93
19001022	1900	10	22	2020	2.02
19001023	1900	10	23	1030	1.03
19001024	1900	10	24	875	0.88
19001025	1900	10	25	1160	1.16
19001026	1900	10	26	1110	1.11
19001027	1900	10	27	1680	1.68
19001028	1900	10	28	1830	1.83
19001029	1900	10	29	2590	2.59
19001030	1900	10	30	2720	2.72
19001031	1900	10	31	4300	4.30
19001101	1900	11	1	3580	3.58
19001102	1900	11	2	4390	4.39
19001103	1900	11	3	4550	4.55
19001104	1900	11	4	4210	4.21
19001105	1900	11	5	5140	5.14
19001106	1900	11	6	3950	3.95
19001107	1900	11	7	3110	3.11
19001108	1900	11	8	3590	3.59
19001109	1900	11	9	3670	3.67
19001110	1900	11	10	6450	6.45
19001111	1900	11	11	11200	11.20
19001112	1900	11	12	10500	10.50
19001113	1900	11	13	9600	9.60
19001114	1900	11	14	10100	10.10
19001115	1900	11	15	10500	10.50
19001116	1900	11	16	12600	12.60
